기간,구분,평균,평균최고,극점최고,평균최저,극점최저,강수량(mm),평균,최소,평균해면기압(hPa),이슬점온도(℃),평균운량(10%),일조시간(hr),평균풍속,최대풍속
1993.07 ,서울시,23.3,27.6,31.1,19.8,16.2,424.4,77,38,1006.7,18.8,6.7,161.8,2.1,7.7
1993.08 ,서울시,23.2,27.5,30.6,19.8,16.3,197.8,80,35,1008.1,19.3,6.5,170.6,2,7.5
1993.09 ,서울시,21.2,26.3,30.5,16.9,10.8,56.1,67,19,1014,14.3,4,237.5,2,9.7
1993.10 ,서울시,13.4,19.3,25,8.3,0.6,15.4,61,19,1020.9,5.3,2.9,228.2,2.2,9.3
1993.11 ,서울시,8.5,12.5,20.9,5.2,-9,66.6,70,27,1024.1,2.8,5.5,107.8,2.4,9.7
1993.12 ,서울시,-0.2,3.8,10,-3.8,-11.2,12.1,62,21,1026.5,-7.3,3.6,148.8,2.5,11.2
1994.01 ,서울시,-9,6.6,10,-4.7,-12.3,6.5,57.7,18,1023.6,-8.8,4.5,155.5,2.3,9.3
1994.02 ,서울시,0.8,4.9,11.4,-3.2,-10.8,14.8,55.3,12,1020.9,-8.1,3.8,175.7,2.5,9.7
1994.03 ,서울시,4,10.1,18.6,-0.1,-5.5,31.7,59.5,13,1022.3,-4,4,215.7,3.2,9.7
1994.04 ,서울시,15.2,20.8,28.9,10,5.7,44.9,53.2,14,1014.4,4.6,4.4,222,2.4,10.3
1994.05 ,서울시,17.9,22.5,28,13.4,8.3,152.4,67.1,17,1008.3,10.6,4.9,215.3,2.8,10.3
1994.06 ,서울시,22.8,27.4,34.7,18.1,13.4,85,67.7,25,1008.2,15.9,5.5,217.9,2.2,8.3
1994.07 ,서울시,28.5,33.1,38.4,25.3,21.3,139.5,78.9,31,1006.5,24.1,6.1,191.5,2.1,8.2
1994.08 ,서울시,27.6,31.1,37,24.4,19,232.7,75.6,34,1009.9,22.5,6,205.6,2.2,8.3
1994.09 ,서울시,21,26.7,32,16.7,12.1,60.7,68.6,28,1011.8,14.5,3.8,231.6,1.9,7
1994.10 ,서울시,15.2,19.7,25.9,11.3,3.2,214.5,70.8,23,1019.3,9.4,4.1,187.1,2,10.3
1994.11 ,서울시,9.3,14.9,19.8,5.4,-2.2,49.6,63.4,15,1025.1,1.9,4.1,153.8,2,8.2
1994.12 ,서울시,1.1,9.4,12.4,-2.4,-12.6,23.5,59.7,20,1027.2,-6.5,4.1,155.7,2.3,7
1995.01 ,서울시,-2.1,1.8,10.3,-5.7,-11.1,11.6,52.2,14,1024.7,-11.5,2.9,190.8,2.6,8.7
1995.02 ,서울시,1.2,6,9.9,-2.8,-7.9,5.2,56,11,1023.9,-7.5,2.2,199.8,2.2,6.5
1995.03 ,서울시,6,10.3,17.1,2.2,-3.6,60.6,64.1,12,1018.1,-1.2,5.4,153.1,2.8,10.3
1995.04 ,서울시,11.3,16.7,25.2,6.5,-0.4,44.4,53.4,12,1015.2,0.6,3.8,239.8,3.1,8.7
1995.05 ,서울시,17.1,22.1,29,12.1,6.3,60.6,57.9,10,1011.7,7.5,4.7,225.5,2.7,9.7
1995.06 ,서울시,21.6,26.3,29.6,17.5,12.1,70.7,70.5,21,1007.1,15.5,6.2,202.7,2,5.7
1995.07 ,서울시,24.5,27.8,33.6,21.7,17.7,436.1,81.4,36,1007.1,20.7,7.6,146.7,2.5,7.7
1995.08 ,서울시,26,29.2,33.7,23.4,18.8,786.6,84.6,38,1009.4,23,7.4,137.3,2.4,8
1995.09 ,서울시,20,24.5,28.4,15.7,10.7,47.2,67.5,24,1013.8,13.3,4.9,195,1.6,9.3
1995.10 ,서울시,15.5,20.6,25.6,10.7,4.2,39.3,60.8,16,1019.2,7.1,4.1,216.1,1.7,8
1995.11 ,서울시,6.2,11.5,18.6,1.8,-4.3,32.9,56.7,13,1020.4,-2.5,2.6,200.1,2.3,8.3
1995.12 ,서울시,-1,3,6.9,-4.4,-10.3,3.4,55.1,20,1026,-9.5,2.8,183.7,2.2,7.7
1996.01 ,서울시,-2.2,2.3,9.8,-5.6,-10.7,16.3,51,10,1024.6,-12.1,3.6,188.3,2.4,8.2
1996.02 ,서울시,-1.6,3.2,14,-5.5,-13.8,1,47,10,1024.5,-12.6,3,180.4,2.7,7.8
1996.03 ,서울시,4.9,9.5,17.5,1,-3.8,77.9,54,9,1018.4,-5,5.2,189.8,2.7,8
1996.04 ,서울시,10.2,15.1,23.3,5.9,0.9,62,52,11,1017.4,0.6,3.8,247.4,3,7.3
1996.05 ,서울시,18.4,24.2,31.4,13.3,9.8,29.3,58,13,1012.2,9,4.2,264,2.2,7
1996.06 ,서울시,22.3,26.5,32.7,19.1,15.1,249.7,75,27,1006.3,17.1,8.1,129.5,1.9,11.7
1996.07 ,서울시,24.4,28.3,34.6,21.2,16.6,512.8,76,34,1008.1,19.4,7.6,146.2,1.9,7.3
1996.08 ,서울시,26,29.8,35.4,22.9,17.6,132.4,73,31,1008.9,20.5,6.2,140.7,1.7,6
1996.09 ,서울시,22,27.3,30.9,17.5,11.6,11,66,19,1013.4,14.5,3.9,211,1.8,6
1996.10 ,서울시,14.5,19.4,23.8,10,0.4,90.3,63,14,1018.9,6.7,4.3,175.8,2,8
1996.11 ,서울시,6.1,10.3,18.8,2.4,8,62.9,64,17,1022.7,-1.1,4.5,148.8,2.2,9.7
1996.12 ,서울시,1.6,6,12.7,-2.5,-10.5,11,59,16,1022.8,-6.4,3.6,146.2,2.2,10
1997.01 ,서울시,-3.3,1.2,8,-7.1,-13.7,16.8,58,21,1023.3,-11,3.2,148.1,2.6,12.3
1997.02 ,서울시,0.7,5.6,15.1,-3.5,-8.1,39.6,54,12,1023.1,-8.4,2.6,188.8,2.6,11.2
1997.03 ,서울시,6.8,11.8,20.2,2.5,-4.3,25.3,56,19,1021.5,-2.1,3.2,226.3,2.8,12.7
1997.04 ,서울시,13,18.1,22.3,8.4,2.7,56.1,55,15,1016,2.9,3.8,227.1,2.7,11
1997.05 ,서울시,17,21.5,27.9,12.9,8.8,291.3,66,17,1008.1,9.9,6.3,173.4,2.5,9.3
1997.06 ,서울시,23.4,28.5,35,18.9,12.4,110,65,25,1007.6,15.9,4.8,227.8,2.1,8.8
1997.07 ,서울시,26.1,30.1,36.1,22.8,18.1,299.6,80,27,1006.8,22.2,5.8,168.4,1.9,7.3
1997.08 ,서울시,26.8,31.3,34.1,23.2,19.6,117.2,71,37,1008.2,20.7,4.9,206,2.2,12.3
1997.09 ,서울시,20.2,25.4,31.9,15.7,10.3,76.9,63,22,1014.4,12.3,3.9,203.2,2,9
1997.10 ,서울시,13.4,19,26.3,8.2,-2,45.5,55,10,1017.6,3.6,2.4,237.6,2.4,10
1997.11 ,서울시,8.8,13.7,20.2,4.6,-3.2,93.8,61,17,1021.9,1,4,166.6,2,9
1997.12 ,서울시,1.8,5.7,12.8,-1.8,-11.3,38.1,59,20,1025.3,-5.8,4.2,145,2.1,7.7
1998.01 ,서울시,-1.3,2.8,8.2,-4.7,-15.4,10.4,59,20,1024.9,-8.9,4,161,2.4,9.7
1998.02 ,서울시,3.4,7.8,15,-0.6,-7.7,32.3,59,16,1022.1,-4.7,4.1,151.3,2.4,9
1998.03 ,서울시,7.3,12.5,19.1,2.8,-3.2,45.1,58,13,1020.5,-1.4,3.6,220.9,2.8,9.7
1998.04 ,서울시,15.6,20.9,26.3,11.1,1.9,120.2,65,14,1015.1,8.4,5.5,164.6,2.2,16
1998.05 ,서울시,19,24.3,31.4,14,10.4,121.5,59,17,1013.5,9.9,5.1,214.8,2.2,9
1998.06 ,서울시,21.9,26.4,31.8,18,13.2,234.1,67,28,1008.5,14.9,6.3,163.7,2.1,8
1998.07 ,서울시,24.9,28.6,32.2,21.9,19.5,311.8,74,32,1005.8,19.9,7,137.2,2.5,9
1998.08 ,서울시,25,28.8,32,22.1,17.4,1237.8,78,41,1007.5,20.8,7.5,114.1,2,10
1998.09 ,서울시,23,27.8,32.8,19,15.4,177.9,70,30,1012.5,16.9,5,197.3,1.8,8
