date,Year,Month,windchill,year
1991-01-15,1990 겨울,1,-4.7,1991
1991-01-16,1990 겨울,1,-0.5,1991
1991-01-17,1990 겨울,1,-6.3,1991
1991-01-18,1990 겨울,1,-4.3,1991
1991-01-19,1990 겨울,1,-0.9,1991
1991-01-20,1990 겨울,1,2.3,1991
1991-01-21,1990 겨울,1,4,1991
1991-01-22,1990 겨울,1,1.3,1991
1991-01-23,1990 겨울,1,1.4,1991
1991-01-24,1990 겨울,1,-1.4,1991
1991-01-25,1990 겨울,1,-4.6,1991
1991-01-26,1990 겨울,1,-4.1,1991
1991-01-27,1990 겨울,1,-3.7,1991
1991-01-28,1990 겨울,1,-1.1,1991
1991-01-29,1990 겨울,1,-0.5,1991
1991-01-30,1990 겨울,1,-1.3,1991
1991-01-31,1990 겨울,1,-2.3,1991
1991-02-01,1990 겨울,2,-4.8,1991
1991-02-02,1990 겨울,2,-3.9,1991
1991-02-03,1990 겨울,2,-2.2,1991
1991-02-04,1990 겨울,2,-4.1,1991
1991-02-05,1990 겨울,2,-4.6,1991
1991-02-06,1990 겨울,2,-0.7,1991
1991-02-07,1990 겨울,2,1.4,1991
1991-02-08,1990 겨울,2,-1.8,1991
1991-02-09,1990 겨울,2,2,1991
1991-02-10,1990 겨울,2,3.8,1991
1991-02-11,1990 겨울,2,0.7,1991
1991-02-12,1990 겨울,2,0.8,1991
1991-02-13,1990 겨울,2,3.5,1991
1991-02-14,1990 겨울,2,4.9,1991
1991-02-15,1990 겨울,2,1.3,1991
1991-02-16,1990 겨울,2,1.7,1991
1991-02-17,1990 겨울,2,-0.5,1991
1991-02-18,1990 겨울,2,-1.8,1991
1991-02-19,1990 겨울,2,-9.9,1991
1991-02-20,1990 겨울,2,-7.1,1991
1991-02-21,1990 겨울,2,-14.2,1991
1991-02-22,1990 겨울,2,-15.1,1991
1991-02-23,1990 겨울,2,-16.9,1991
1991-02-24,1990 겨울,2,-12,1991
1991-02-25,1990 겨울,2,-5.4,1991
1991-02-26,1990 겨울,2,-0.9,1991
1991-02-27,1990 겨울,2,1.8,1991
1991-02-28,1990 겨울,2,-2.8,1991
1991-12-01,1991 겨울,12,2.8,1991
1991-12-02,1991 겨울,12,4.6,1991
1991-12-03,1991 겨울,12,-0.5,1991
1991-12-04,1991 겨울,12,2.1,1991
1991-12-05,1991 겨울,12,5.8,1991
1991-12-06,1991 겨울,12,7.8,1991
1991-12-07,1991 겨울,12,7.9,1991
1991-12-08,1991 겨울,12,1.2,1991
1991-12-09,1991 겨울,12,-3.7,1991
1991-12-10,1991 겨울,12,-2.2,1991
1991-12-11,1991 겨울,12,-6.7,1991
1991-12-12,1991 겨울,12,-12.4,1991
1991-12-13,1991 겨울,12,-4.5,1991
1991-12-14,1991 겨울,12,4.9,1991
1991-12-15,1991 겨울,12,7.5,1991
1991-12-16,1991 겨울,12,8.1,1991
1991-12-17,1991 겨울,12,4.3,1991
1991-12-18,1991 겨울,12,1.5,1991
1991-12-19,1991 겨울,12,2.5,1991
1991-12-20,1991 겨울,12,2.5,1991
1991-12-21,1991 겨울,12,1.5,1991
1991-12-22,1991 겨울,12,4.5,1991
1991-12-23,1991 겨울,12,5.6,1991
1991-12-24,1991 겨울,12,1.4,1991
1991-12-25,1991 겨울,12,1.8,1991
1991-12-26,1991 겨울,12,1.4,1991
1991-12-27,1991 겨울,12,-1.9,1991
1991-12-28,1991 겨울,12,-11.1,1991
1991-12-29,1991 겨울,12,-11.6,1991
1991-12-30,1991 겨울,12,-6.4,1991
1991-12-31,1991 겨울,12,-0.8,1991
1992-01-01,1991 겨울,1,1.5,1992
1992-01-02,1991 겨울,1,-0.4,1992
1992-01-03,1991 겨울,1,-3.2,1992
1992-01-04,1991 겨울,1,-3.2,1992
1992-01-05,1991 겨울,1,-0.4,1992
1992-01-06,1991 겨울,1,2.8,1992
1992-01-07,1991 겨울,1,-0.4,1992
1992-01-08,1991 겨울,1,-0.1,1992
1992-01-09,1991 겨울,1,-1.7,1992
1992-01-10,1991 겨울,1,-0.1,1992
1992-01-11,1991 겨울,1,-0.1,1992
1992-01-12,1991 겨울,1,1.4,1992
1992-01-13,1991 겨울,1,0.1,1992
1992-01-14,1991 겨울,1,-0.8,1992
1992-01-15,1991 겨울,1,-2.6,1992
1992-01-16,1991 겨울,1,-3.1,1992
1992-01-17,1991 겨울,1,-9.6,1992
1992-01-18,1991 겨울,1,-10.8,1992
1992-01-19,1991 겨울,1,-6.4,1992
1992-01-20,1991 겨울,1,-4,1992
1992-01-21,1991 겨울,1,-1.3,1992
1992-01-22,1991 겨울,1,-3.7,1992
1992-01-23,1991 겨울,1,-4.7,1992
1992-01-24,1991 겨울,1,-1.3,1992
1992-01-25,1991 겨울,1,0.5,1992
1992-01-26,1991 겨울,1,-0.7,1992
1992-01-27,1991 겨울,1,-0.4,1992
1992-01-28,1991 겨울,1,1,1992
1992-01-29,1991 겨울,1,0.4,1992
1992-01-30,1991 겨울,1,-1.8,1992
1992-01-31,1991 겨울,1,-2.4,1992
1992-02-01,1991 겨울,2,-2.1,1992
1992-02-02,1991 겨울,2,-1.6,1992
1992-02-03,1991 겨울,2,-1.2,1992
1992-02-04,1991 겨울,2,-4.7,1992
1992-02-05,1991 겨울,2,-3,1992
1992-02-06,1991 겨울,2,-4,1992
1992-02-07,1991 겨울,2,-5.7,1992
1992-02-08,1991 겨울,2,-6.1,1992
1992-02-09,1991 겨울,2,-3.4,1992
1992-02-10,1991 겨울,2,-1.8,1992
1992-02-11,1991 겨울,2,-3.5,1992
1992-02-12,1991 겨울,2,-1.7,1992
1992-02-13,1991 겨울,2,-3.9,1992
1992-02-14,1991 겨울,2,-1,1992
1992-02-15,1991 겨울,2,0.6,1992
1992-02-16,1991 겨울,2,-6.8,1992
1992-02-17,1991 겨울,2,-3.9,1992
1992-02-18,1991 겨울,2,-2.7,1992
1992-02-19,1991 겨울,2,-6.9,1992
1992-02-20,1991 겨울,2,-3.9,1992
1992-02-21,1991 겨울,2,-4.3,1992
1992-02-22,1991 겨울,2,-0.1,1992
1992-02-23,1991 겨울,2,-0.7,1992
1992-02-24,1991 겨울,2,-1.7,1992
1992-02-25,1991 겨울,2,1.5,1992
1992-02-26,1991 겨울,2,4.6,1992
1992-02-27,1991 겨울,2,9.6,1992
1992-02-28,1991 겨울,2,11.6,1992
1992-02-29,1991 겨울,2,11.8,1992
1992-12-01,1992 겨울,12,3.2,1992
1992-12-02,1992 겨울,12,3.9,1992
1992-12-03,1992 겨울,12,2.5,1992
1992-12-04,1992 겨울,12,4.5,1992
1992-12-05,1992 겨울,12,8.5,1992
1992-12-06,1992 겨울,12,8.4,1992
1992-12-07,1992 겨울,12,8.1,1992
1992-12-08,1992 겨울,12,5,1992
1992-12-09,1992 겨울,12,3.8,1992
1992-12-10,1992 겨울,12,-1.1,1992
1992-12-11,1992 겨울,12,-6,1992
1992-12-12,1992 겨울,12,-1.2,1992
1992-12-13,1992 겨울,12,-4.5,1992
1992-12-14,1992 겨울,12,-9.5,1992
1992-12-15,1992 겨울,12,-5.8,1992
1992-12-16,1992 겨울,12,-0.8,1992
1992-12-17,1992 겨울,12,-0.8,1992
1992-12-18,1992 겨울,12,-1,1992
1992-12-19,1992 겨울,12,0.5,1992
1992-12-20,1992 겨울,12,6.4,1992
1992-12-21,1992 겨울,12,0.1,1992
1992-12-22,1992 겨울,12,-3.1,1992
1992-12-23,1992 겨울,12,-10.9,1992
1992-12-24,1992 겨울,12,-7.9,1992
1992-12-25,1992 겨울,12,-4.8,1992
1992-12-26,1992 겨울,12,-0.4,1992
1992-12-27,1992 겨울,12,2.3,1992
1992-12-28,1992 겨울,12,2.5,1992
1992-12-29,1992 겨울,12,-1.8,1992
1992-12-30,1992 겨울,12,-0.1,1992
1992-12-31,1992 겨울,12,-2.4,1992
1993-01-01,1992 겨울,1,-0.6,1993
1993-01-02,1992 겨울,1,2.4,1993
1993-01-03,1992 겨울,1,-2.5,1993
1993-01-04,1992 겨울,1,-5.2,1993
1993-01-05,1992 겨울,1,-2.8,1993
1993-01-06,1992 겨울,1,0.1,1993
1993-01-07,1992 겨울,1,-0.4,1993
1993-01-08,1992 겨울,1,0.8,1993
1993-01-09,1992 겨울,1,2.3,1993
1993-01-10,1992 겨울,1,-1.9,1993
1993-01-11,1992 겨울,1,-5.9,1993
1993-01-12,1992 겨울,1,-3.1,1993
1993-01-13,1992 겨울,1,-1,1993
1993-01-14,1992 겨울,1,-2.2,1993
1993-01-15,1992 겨울,1,-7,1993
1993-01-16,1992 겨울,1,-9.4,1993
1993-01-17,1992 겨울,1,-6.1,1993
1993-01-18,1992 겨울,1,-11.7,1993
1993-01-19,1992 겨울,1,-11.7,1993
1993-01-20,1992 겨울,1,-11.7,1993
1993-01-21,1992 겨울,1,-7.6,1993
1993-01-22,1992 겨울,1,-4.4,1993
1993-01-23,1992 겨울,1,-0.4,1993
1993-01-24,1992 겨울,1,1.4,1993
1993-01-25,1992 겨울,1,0.4,1993
1993-01-26,1992 겨울,1,-2.2,1993
1993-01-27,1992 겨울,1,-10.7,1993
1993-01-28,1992 겨울,1,-11.3,1993
1993-01-29,1992 겨울,1,-5.7,1993
1993-01-30,1992 겨울,1,-2.6,1993
1993-01-31,1992 겨울,1,-1.2,1993
1993-02-01,1992 겨울,2,-5.7,1993
1993-02-02,1992 겨울,2,-3.1,1993
1993-02-03,1992 겨울,2,-0.8,1993
1993-02-04,1992 겨울,2,2.8,1993
1993-02-05,1992 겨울,2,6,1993
1993-02-06,1992 겨울,2,8.5,1993
1993-02-07,1992 겨울,2,-6.6,1993
1993-02-08,1992 겨울,2,-8.9,1993
1993-02-09,1992 겨울,2,-4.9,1993
1993-02-10,1992 겨울,2,-2.1,1993
1993-02-11,1992 겨울,2,-0.5,1993
1993-02-12,1992 겨울,2,-0.5,1993
1993-02-13,1992 겨울,2,-0.8,1993
1993-02-14,1992 겨울,2,-0.2,1993
1993-02-15,1992 겨울,2,1.9,1993
1993-02-16,1992 겨울,2,1.1,1993
1993-02-17,1992 겨울,2,1.5,1993
1993-02-18,1992 겨울,2,0.4,1993
1993-02-19,1992 겨울,2,2,1993
1993-02-20,1992 겨울,2,4.3,1993
1993-02-21,1992 겨울,2,3.4,1993
1993-02-22,1992 겨울,2,-7.4,1993
1993-02-23,1992 겨울,2,-11.8,1993
1993-02-24,1992 겨울,2,-8.6,1993
1993-02-25,1992 겨울,2,-4,1993
1993-02-26,1992 겨울,2,-2.3,1993
1993-02-27,1992 겨울,2,0.2,1993
1993-02-28,1992 겨울,2,-4.9,1993
1993-12-01,1993 겨울,12,3.9,1993
1993-12-02,1993 겨울,12,3.4,1993
1993-12-03,1993 겨울,12,-5.2,1993
1993-12-04,1993 겨울,12,-5.2,1993
1993-12-05,1993 겨울,12,-2.5,1993
1993-12-06,1993 겨울,12,-1.4,1993
1993-12-07,1993 겨울,12,-0.2,1993
1993-12-08,1993 겨울,12,2.7,1993
1993-12-09,1993 겨울,12,2.9,1993
1993-12-10,1993 겨울,12,1.6,1993
1993-12-11,1993 겨울,12,-2.6,1993
1993-12-12,1993 겨울,12,1.9,1993
1993-12-13,1993 겨울,12,-2.3,1993
1993-12-14,1993 겨울,12,-9.8,1993
1993-12-15,1993 겨울,12,-10.4,1993
1993-12-16,1993 겨울,12,-6,1993
1993-12-17,1993 겨울,12,-12.1,1993
1993-12-18,1993 겨울,12,-3.3,1993
1993-12-19,1993 겨울,12,1.1,1993
1993-12-20,1993 겨울,12,2.3,1993
1993-12-21,1993 겨울,12,-12.2,1993
1993-12-22,1993 겨울,12,-9.8,1993
1993-12-23,1993 겨울,12,-3.8,1993
1993-12-24,1993 겨울,12,-0.9,1993
1993-12-25,1993 겨울,12,3.4,1993
1993-12-26,1993 겨울,12,2.4,1993
1993-12-27,1993 겨울,12,-2.4,1993
1993-12-28,1993 겨울,12,-2.4,1993
1993-12-29,1993 겨울,12,0.5,1993
1993-12-30,1993 겨울,12,2.6,1993
1993-12-31,1993 겨울,12,-5.9,1993
1994-01-01,1993 겨울,1,-2.8,1994
1994-01-02,1993 겨울,1,1.6,1994
1994-01-03,1993 겨울,1,2.7,1994
1994-01-04,1993 겨울,1,-3.6,1994
1994-01-05,1993 겨울,1,0.3,1994
1994-01-06,1993 겨울,1,-1.4,1994
1994-01-07,1993 겨울,1,-4.3,1994
1994-01-08,1993 겨울,1,0.1,1994
1994-01-09,1993 겨울,1,5.9,1994
1994-01-10,1993 겨울,1,5.4,1994
1994-01-11,1993 겨울,1,2.4,1994
1994-01-12,1993 겨울,1,1,1994
1994-01-13,1993 겨울,1,-1.7,1994
1994-01-14,1993 겨울,1,-4.6,1994
1994-01-15,1993 겨울,1,-0.9,1994
1994-01-16,1993 겨울,1,1.9,1994
1994-01-17,1993 겨울,1,-1,1994
1994-01-18,1993 겨울,1,-13.8,1994
1994-01-19,1993 겨울,1,-12.1,1994
1994-01-20,1993 겨울,1,-10.2,1994
1994-01-21,1993 겨울,1,-8.7,1994
1994-01-22,1993 겨울,1,-6.2,1994
1994-01-23,1993 겨울,1,-12.6,1994
1994-01-24,1993 겨울,1,-7.5,1994
1994-01-25,1993 겨울,1,-0.2,1994
1994-01-26,1993 겨울,1,-2.2,1994
1994-01-27,1993 겨울,1,-7.7,1994
1994-01-28,1993 겨울,1,-3.6,1994
1994-01-29,1993 겨울,1,-5.9,1994
1994-01-30,1993 겨울,1,-4,1994
1994-01-31,1993 겨울,1,1.5,1994
1994-02-01,1993 겨울,2,-3.2,1994
1994-02-02,1993 겨울,2,-7.1,1994
1994-02-03,1993 겨울,2,-3.2,1994
1994-02-04,1993 겨울,2,-2.5,1994
1994-02-05,1993 겨울,2,1.2,1994
1994-02-06,1993 겨울,2,2.7,1994
1994-02-07,1993 겨울,2,1.5,1994
1994-02-08,1993 겨울,2,1,1994
1994-02-09,1993 겨울,2,-12.1,1994
1994-02-10,1993 겨울,2,-10.2,1994
1994-02-11,1993 겨울,2,-4,1994
1994-02-12,1993 겨울,2,-1.9,1994
1994-02-13,1993 겨울,2,-5.1,1994
1994-02-14,1993 겨울,2,-1.4,1994
1994-02-15,1993 겨울,2,1.8,1994
