"","year","count"
"1","2007",7
"2","2008",21
"3","2009",14
"4","2010",21
"5","2011",8
"6","2012",20
"7","2013",12
"8","2014",16
"9","2015",18
"10","2016",27
"11","2017",30
"12","2018",18
